id,sentiment
12311_10,0.9999894
8348_2,0.0027439937
5828_4,0.23855421
7186_2,0.48120195
12128_7,0.9835186
2913_8,0.71986073
4396_1,0.011653429
395_2,0.11751266
10616_1,0.0010553388
9074_9,0.07310702
9252_3,0.009899952
9896_9,0.04668931
574_4,0.041528746
11182_8,0.94544584
11656_4,0.8100886
2322_4,0.9995278
8703_1,0.011979026
7483_1,0.06373019
6007_10,0.9991424
12424_4,0.0031508235
4672_1,0.0036916374
10841_3,0.16324294
8954_7,0.9952708
7392_1,0.008732492
10288_8,0.99183744
5343_4,0.065139115
4950_1,0.001403417
9257_4,0.9954359
8689_3,0.00412277
4480_2,0.10108715
9286_10,0.9997218
12245_10,0.9999956
7529_7,0.49238905
4_4,0.11540024
5299_2,0.02135375
12077_8,0.9997187
10701_2,0.0067267665
11579_1,0.007993751
10993_1,0.07450742
8913_1,0.29036635
1350_3,0.0138046965
3804_2,0.0043294174
5025_3,0.026431333
5170_8,0.89857775
8225_8,0.9994431
6427_7,0.99981016
3165_3,0.97122645
7902_9,0.9999268
8208_3,0.005380379
3577_8,0.08546329
4865_1,0.005254109
9063_3,0.89855266
1106_1,0.16663301
1117_9,0.9999409
1050_4,0.017159242
10755_9,0.052747462
2729_8,0.89493597
10072_10,0.99998236
2904_7,0.99997246
4584_2,0.87018746
189_4,0.11621941
6302_4,0.0069141276
8138_9,0.99828964
1262_1,0.0034667843
2199_10,0.999923
6551_7,0.55274403
8082_7,0.20766422
4897_8,0.9995447
7360_1,0.018980931
11012_10,0.999592
12046_1,0.102274895
2331_2,0.99783844
8961_9,0.9984289
751_7,0.9308818
9884_10,0.9987832
10016_8,0.9674229
8023_10,0.99865794
2628_1,0.0025798827
5832_1,0.001619363
7302_1,0.0051422934
4501_3,0.020798836
1121_7,0.5449794
8334_3,0.039192475
9789_10,0.021734232
4230_10,0.8099927
824_4,0.006708081
6803_9,0.9510542
3086_7,0.9996455
1135_8,0.99990666
10136_1,0.007496874
11129_3,0.017955318
2072_8,0.8917783
9501_7,0.99978846
319_10,0.9822076
1693_7,0.9989864
10886_1,0.003580568
9406_8,0.9621815
10376_10,0.017774163
9902_1,0.025887344
9938_8,0.086196475
7080_9,0.9969043
11944_8,0.9495624
5249_1,0.007089383
9599_2,0.99954516
9620_1,0.027108649
11244_1,0.0064605265
6841_10,0.99829894
10050_4,0.078678116
10512_9,0.99286675
11327_3,0.010092121
10681_8,0.8594842
808_3,0.20085454
546_7,0.99986017
10765_1,0.0041034254
7189_9,0.99299496
6005_9,0.99992573
11915_9,0.9865773
5740_10,0.9949477
7097_10,0.9977296
9573_10,0.9909815
5084_4,0.45018902
12332_7,0.19159697
8154_1,0.056749675
5610_1,0.016287137
5323_9,0.99565744
11034_8,0.976824
3977_2,0.025365693
12380_7,0.3503016
1737_8,0.8835142
6030_9,0.95543236
5918_7,0.13028167
7061_9,0.9330259
266_8,0.9988061
1375_10,0.99937695
8648_3,0.0021662803
10146_10,0.99990594
4578_10,0.998809
4685_8,0.99499977
11843_9,0.9785969
5467_10,0.9999919
10140_10,0.9670487
7721_8,0.9813054
11208_10,0.3110713
1063_10,0.9874817
8260_10,0.33628538
3182_9,0.9999424
2797_8,0.9965624
7613_2,0.986297
11624_4,0.013660511
4847_10,0.939841
10684_7,0.77597374
6312_1,0.028350435
4925_3,0.0188575
4125_1,0.0023951146
2394_10,0.99998176
12105_10,0.9726353
7812_1,0.0027312397
1061_8,0.23083957
9343_3,0.95442235
7696_10,0.9486377
9355_10,0.9998318
782_9,0.9985989
9882_10,0.999933
10642_10,0.98939717
7410_2,0.007677008
9591_4,0.018402735
11902_3,0.006902008
3495_7,0.01324464
6733_1,0.0056018014
4552_1,0.0015951047
6722_1,0.03605642
188_10,0.99921656
5099_10,0.9989548
10313_1,0.040214065
6756_9,0.99725085
6622_2,0.0020029482
4807_10,0.9990356
7173_3,0.29060116
11321_8,0.16774794
7909_9,0.75087565
8012_7,0.01924457
8615_4,0.032383285
8117_10,0.9993892
1892_10,0.9932475
4617_1,0.005734429
1893_8,0.99901223
5435_1,0.01592729
162_3,0.02630561
6516_10,0.99977916
11588_7,0.988189
2006_1,0.009548043
1594_4,0.9947001
1472_1,0.0020413548
3647_1,0.18188117
174_7,0.9402647
5539_7,0.032177266
3384_10,0.9999329
3811_4,0.015228457
4079_8,0.08460545
1179_7,0.98493963
3069_9,0.99999034
3769_8,0.99795216
9247_10,0.99647176
10434_1,0.0022132148
1147_10,0.9999393
5344_7,0.8336579
8073_10,0.99059206
7833_3,0.0063645807
8370_1,0.011687908
9007_8,0.029504076
6624_7,0.9990877
6683_3,0.03786377
12275_7,0.09833181
11927_8,0.6392908
1560_10,0.9998957
1325_9,0.066613324
3548_8,0.6560319
607_1,0.0026178926
6702_7,0.99873585
5702_3,0.0066642514
11345_8,0.9998784
3428_4,0.22231117
7209_9,0.9999721
8425_8,0.99974793
3087_1,0.05617743
1119_8,0.024810022
5715_3,0.89151466
8645_1,0.07801819
2149_3,0.008425685
10403_10,0.98060465
5628_1,0.009420983
5570_10,0.9998714
1613_3,0.008625247
1454_4,0.96349925
5094_3,0.15573704
7982_1,0.009660389
6894_2,0.7594131
6554_1,0.040326882
4721_3,0.0048322114
6904_4,0.006542779
893_8,0.99976546
4605_4,0.96583897
11516_7,0.036098093
11718_7,0.9999777
5956_1,0.006862062
7455_9,0.99957865
6396_4,0.66411734
1223_8,0.72596985
8556_1,0.006955438
6108_8,0.99981195
11690_1,0.0025395353
3778_9,0.943229
3627_4,0.9938985
8256_4,0.03197905
533_1,0.001385707
5235_4,0.088698745
621_2,0.007989143
5365_1,0.35564747
8180_3,0.08077851
7396_7,0.04078374
9776_10,0.9741857
8175_10,0.9976286
3128_1,0.009202837
4606_1,0.044244286
6158_2,0.7325906
3281_10,0.99859244
4723_4,0.080464594
11994_3,0.15020621
7701_1,0.0029684715
103_3,0.11537716
8908_10,0.9999579
8876_1,0.011058661
7519_9,0.023782412
12456_8,0.8218671
9514_8,0.9855224
8680_8,0.6127546
12402_10,0.99996185
362_2,0.014570763
9825_7,0.99842286
2913_3,0.20969109
7164_8,0.99982184
11177_7,0.85678756
5707_10,0.99992526
8103_10,0.999086
6289_1,0.0040844507
11754_1,0.013137563
11640_10,0.8894571
9933_7,0.99936336
185_10,0.9999882
242_10,0.9999869
9369_8,0.33827025
7453_10,0.9991757
7514_7,0.06928643
10860_2,0.0045870286
8663_8,0.9940269
9108_1,0.060530197
7941_1,0.03929634
10116_1,0.003632549
9841_4,0.02802928
4512_9,0.26894993
4853_2,0.9669727
2664_4,0.03335084
9966_10,0.9998827
5167_2,0.0054013073
3894_2,0.6389249
3929_8,0.99961424
7165_10,0.9988379
5451_8,0.036247164
2947_4,0.015111228
4611_10,0.9923609
5807_1,0.61530375
9464_8,0.99882275
3124_10,0.30919963
2705_4,0.99553573
12187_8,0.99607325
12319_10,0.9998909
9874_3,0.011888072
3406_4,0.16106874
2327_10,0.9999559
605_10,0.9999038
8080_4,0.70701355
3074_10,0.9999703
2499_3,0.035017468
1013_1,0.9815594
11535_1,0.004985864
4118_7,0.79447204
10492_8,0.99990296
2129_4,0.6554609
9814_10,0.7557801
10671_9,0.49335814
5980_10,0.9999267
2755_2,0.9595833
5461_2,0.67864865
11979_1,0.015798375
8810_1,0.025572283
852_7,0.99021333
10961_4,0.0055842455
7436_4,0.019357787
11281_3,0.027875172
4208_3,0.028561741
8213_10,0.39274895
9851_2,0.029137446
4713_7,0.97584707
9528_1,0.9999784
3595_10,0.9999919
5785_3,0.92281765
10370_3,0.00616346
1980_3,0.12418358
8800_4,0.022486482
4437_3,0.026990209
28_3,0.80161273
12171_1,0.4795062
9359_3,0.009359665
3831_9,0.99975234
10962_7,0.99997616
1500_9,0.96466035
11470_10,0.9988432
11843_3,0.053238023
11200_4,0.081423
1067_1,0.030780792
3333_1,0.009388642
4487_4,0.37825555
6428_1,0.005855585
575_7,0.08951939
10904_9,0.9996464
11821_2,0.73821014
11605_1,0.002098902
1111_7,0.91908103
10295_1,0.58310336
1146_4,0.0017947834
2405_9,0.98729044
11081_10,0.9986242
2201_10,0.99998856
4844_1,0.0021778988
11007_8,0.99513227
6535_7,0.9968719
2653_4,0.0018012414
8245_10,0.6427412
9951_8,0.9996244
6133_8,0.021468708
10006_2,0.0056518256
7350_1,0.14997523
4509_9,0.9999114
948_1,0.0048300563
3987_1,0.007192143
2947_10,0.005651981
6041_3,0.01142927
2946_1,0.030211436
11967_4,0.002992452
1185_10,0.9999646
10323_2,0.086868286
11706_2,0.0074743424
3663_1,0.0115376515
5602_10,0.9999536
4870_10,0.9375967
1994_1,0.014936704
10807_7,0.99501
6871_3,0.9949587
1175_2,0.0023656795
10919_7,0.9998056
8127_10,0.99871016
12497_4,0.01471239
3274_1,0.5219382
2568_3,0.010383545
840_2,0.012484408
5626_10,0.9998845
7561_10,0.9999685
4600_3,0.8368929
3324_9,0.11427712
8899_7,0.9969687
5592_8,0.6304777
12483_4,0.01661247
7874_1,0.004691917
5878_10,0.99463886
4303_9,0.814784
9421_1,0.024665732
10269_4,0.087641016
10615_2,0.04357737
2634_10,0.870253
7522_1,0.035497382
9289_10,0.066087574
4636_10,0.9544292
1241_7,0.027084615
9458_9,0.9471698
11690_10,0.99990153
7176_4,0.943579
6212_10,0.97835857
6319_1,0.0012994913
5229_3,0.16511345
466_9,0.99993455
8693_2,0.012490411
2952_10,0.9998833
1128_1,0.0063960194
3975_10,0.99822253
11365_10,0.21142985
2074_9,0.9994116
9768_10,0.9998559
4895_1,0.0018820892
5726_10,0.99995303
9993_10,0.9993279
11319_2,0.92992914
10561_2,0.007933189
5455_8,0.99362165
10684_3,0.0026917038
3652_3,0.05490637
7825_1,0.14828207
8806_1,0.010970809
275_10,0.99199003
2246_1,0.048100587
11968_2,0.0065707415
2528_1,0.12447379
8491_8,0.027792567
13_1,0.9851865
4530_8,0.6336652
5207_3,0.0059534865
11648_10,0.9998814
8260_1,0.01510392
10730_10,0.25005352
10402_3,0.9573064
8077_1,0.004453662
8598_8,0.9999714
2809_3,0.014682186
12490_10,0.9999473
1447_9,0.99573296
1605_3,0.026498303
2311_4,0.017828856
3235_9,0.08013838
5725_10,0.99996185
9025_10,0.998765
6049_9,0.98053783
4803_10,0.99979967
191_9,0.9935468
420_3,0.9107968
5238_2,0.032066457
1280_9,0.99091434
9408_4,0.06102598
819_1,0.0017648417
1656_4,0.021688735
9964_3,0.2401311
10404_4,0.027828211
12369_10,0.9389031
6423_1,0.0012620613
9942_8,0.0065908176
1519_1,0.020539286
100_10,0.9822009
3216_10,0.99940324
3909_10,0.95967793
5034_7,0.99923193
14_8,0.9996705
5891_3,0.019494869
8496_10,0.9999232
7429_1,0.0060179853
9457_1,0.007028948
9602_8,0.98684573
4198_1,0.0047195964
154_2,0.008436379
5070_2,0.0028644823
4207_8,0.9980909
7758_8,0.99963033
4439_9,0.9728152
12042_1,0.0052671195
7244_1,0.006447138
6854_1,0.00671247
11932_10,0.99853885
4151_10,0.99699736
7265_1,0.015327585
10272_7,0.99996984
4256_4,0.033599563
1225_7,0.99911135
956_10,0.9930957
6389_2,0.0025032368
1365_4,0.029680897
4752_7,0.9986486
276_10,0.9999486
8766_9,0.088742025
11225_10,0.99827003
6920_1,0.007158714
11536_1,0.0014873248
1923_9,0.9809527
11460_10,0.067614175
10054_7,0.99916005
10845_1,0.0110875005
10231_4,0.681576
9430_8,0.92558795
3226_2,0.003058423
4298_3,0.98904943
10635_4,0.007314343
10567_4,0.00528406
5460_10,0.9876167
7310_7,0.03084121
10330_2,0.0030135638
5151_9,0.99991596
11_3,0.6196395
1448_8,0.053513095
10130_8,0.9483409
2199_3,0.13227962
1761_10,0.9986986
2782_1,0.0059256707
7618_10,0.9997925
85_10,0.25680837
5730_3,0.078147024
3641_1,0.34433156
8190_9,0.99983835
9533_10,0.9995493
9508_1,0.007946741
237_8,0.9999696
3981_7,0.35941708
7194_9,0.9991035
10584_8,0.022442989
248_2,0.0057008346
8358_4,0.027035791
1218_1,0.004367109
4191_10,0.02557882
3090_8,0.9996381
11923_2,0.03814551
1640_8,0.8598723
9972_3,0.005061444
11818_4,0.018362958
4350_10,0.9998809
877_10,0.6361529
10017_8,0.99474263
7975_10,0.9996605
8436_1,0.00740107
6024_7,0.66195434
3112_1,0.008690972
951_10,0.990831
1622_1,0.0052417894
